板橋區	126	2515	225,202	268,334	285,913	554,247
三重區	119	2564	160,936	187,199	195,909	383,108
中和區	93	2998	173,661	195,788	211,485	407,273
永和區	62	1249	92,467	101,340	113,431	214,771
新莊區	84	1,842	167,536	205,458	218,149	423,607
新店區	69	1,482	134,977	145,550	159,318	304,868
土城區	47	1,236	94,393	117,811	123,017	240,828
蘆洲區	38	727	75,247	97,686	102,336	200,022
樹林區	42	1,039	68,663	89,715	90,943	180,658
鶯歌區	20	434	34,058	44,549	44,531	89,080
三峽區	28	608	45,557	57,542	58,066	115,608
淡水區	42	703	90,892	92,543	101,856	194,399
汐止區	50	1,141	95,134	101,629	107,852	209,481
瑞芳區	34	426	15,984	18,742	18,455	37,197
五股區	20	515	37,487	46,261	46,493	92,754
泰山區	17	466	29,869	38,156	39,335	77,491
林口區	17	443	54,852	64,410	68,537	132,947
八里區	10	195	17,561	20,830	21,136	41,966
深坑區	8	239	10,000	11,767	11,922	23,689
石碇區	12	107	3,333	3,911	3,255	7,166
坪林區	7	78	2,552	3,478	2,968	6,446
三芝區	13	254	9,776	11,396	10,741	22,137
石門區	9	124	4,243	5,605	5,147	10,752
金山區	15	201	7,279	10,039	10,327	20,366
萬里區	10	186	7,560	10,386	10,483	20,869
平溪區	12	120	2,144	2,321	1,813	4,134
雙溪區	12	244	3,563	4,318	3,597	7,915
貢寮區	11	202	4,249	5,589	5,392	10,981
烏來區	5	43	1,895	3,092	3,268	6,360
